ticker,date,run_pct,drop_pct,retrace,run_bars,drop_bars,L_atr,n_sup,room_to_sup,nearest_gap,held_highest_HL,err_fixed35,err_fixed50,err_highHL,err_recentHL,err_launch,run_bkt
WMT,2022-06-08,1.2834661761700332,0.8717058799790132,0.6878980891719765,17,14,0.16059416809038163,2,1.0796178343949048,0.3917197452229284,True,0.3378980891719782,0.18789808917197642,0.3917197452229284,0.3917197452229284,0.3121019108280236,big
WMT,2022-06-10,1.6106150379704638,0.4311760840998732,0.272020725388603,16,3,0.2365885811114514,3,0.7461139896373092,0.47409326424870624,True,0.0779792746113955,0.22797927461139697,0.47409326424870624,0.47409326424870624,0.727979274611397,big
WMT,2022-06-10,1.005853738972709,0.27752836503142875,0.27868852459016696,17,2,0.16571349466301205,3,0.4426229508196777,0.16393442622951068,True,0.07131147540983883,0.221311475409833,0.16393442622951068,0.16393442622951068,0.721311475409833,medium
WMT,2022-06-15,1.0631989156218193,0.481998407309613,0.45816733067729476,15,4,0.20685217454952054,3,0.22709163346613356,0.2310756972111612,False,0.10816733067729249,0.04183266932270524,0.2310756972111612,0.2310756972111612,0.5418326693227052,medium
WMT,2022-06-16,2.3373129308895253,1.3268156424580964,0.5809352517985591,37,11,0.3094461428325788,5,0.2895683453237382,0.1420863309352554,False,0.2309352517985596,0.08093525179855908,0.29136690647482083,0.29136690647482083,0.4190647482014409,huge
WMT,2022-06-21,0.9071416790367758,0.34324942791762153,0.38181818181818533,12,8,0.1710575179341808,3,0.3909090909090862,0.00909090909090087,True,0.03181818181817888,0.11818181818181465,0.00909090909090087,0.00909090909090087,0.6181818181818146,small
WMT,2022-06-23,0.888056053446312,0.12113381248485139,0.1376146788990743,15,4,0.15991169599602373,2,0.9724770642201825,0.8348623853211082,True,0.21238532110092698,0.3623853211009257,0.8348623853211082,0.8348623853211082,0.8623853211009257,small
WMT,2022-06-24,1.1114716858672646,0.7462087779828233,0.6788321167883206,14,24,0.3144355815360935,3,0.29197080291970384,0.34671532846716197,False,0.3288321167883169,0.17883211678831537,0.3868613138686167,0.3868613138686167,0.32116788321167944,medium
WMT,2022-06-30,1.3846025523396417,0.34142328259974664,0.24999999999999573,11,3,0.2449599966166238,3,0.4216867469879544,0.17168674698795866,True,0.10000000000000685,0.2500000000000043,0.17168674698795866,0.17168674698795866,0.7500000000000043,big
WMT,2022-07-05,1.1946303214417655,0.3083164300202803,0.26116838487972227,12,3,0.21104709119453272,2,1.0137457044673512,0.752577319587629,True,0.08883161512027432,0.23883161512027284,0.752577319587629,0.752577319587629,0.7388316151202777,medium
WMT,2022-07-06,1.511861680739855,0.6416858116137227,0.4308510638297862,11,3,0.12475948921352575,2,1.0,0.5691489361702138,True,0.08085106382978736,0.06914893617021756,0.5691489361702138,0.5691489361702138,0.5691489361702138,big
WMT,2022-07-13,1.0688931913520514,0.3432174641816599,0.32452830188678616,8,4,0.1909201868671536,3,0.1924528301886754,0.1320754716981108,False,0.025471698113216503,0.17547169811320845,0.1320754716981108,0.1320754716981108,0.6754716981132138,medium
WMT,2022-07-14,0.6640531242499387,0.46097599745668283,0.6987951807228909,13,5,0.19243526702173408,3,1.0662650602409551,0.36746987951806415,True,0.34879518072289695,0.1987951807228995,0.36746987951806415,0.36746987951806415,0.30120481927710907,small
WMT,2022-07-14,1.4599122457120164,0.5189495203648458,0.3606557377049215,15,9,0.18586653344418894,3,0.8415300546448065,0.4808743169398849,True,0.010655737704922246,0.13934426229507854,0.4808743169398849,0.4808743169398849,0.6393442622950786,big
WMT,2022-07-14,1.2787118162443796,0.631283610007016,0.5,18,7,0.15425330976447213,4,0.7283950617283972,0.22839506172839721,True,0.1499999999999965,0.0,0.22839506172839721,0.22839506172839721,0.5,big
WMT,2022-07-15,0.8963017809126734,0.4364450967517872,0.49130434782610727,19,4,0.15276878172311098,3,0.6913043478260974,0.1999999999999901,True,0.14130434782610604,0.008695652173905092,0.1999999999999901,0.1999999999999901,0.5086956521738928,small
WMT,2022-07-18,1.133232429075934,0.3338577842587773,0.2979452054794383,17,8,0.17944693169086304,4,0.44863013698630844,0.15068493150687012,True,0.05205479452056363,0.2020547945205617,0.15068493150687012,0.15068493150687012,0.7020547945205616,medium
WMT,2022-07-20,1.0570987654321022,0.35886080781858354,0.34306569343065496,17,4,0.2002509411718789,3,0.28467153284670443,0.05839416058395054,True,0.006934306569345034,0.15693430656934504,0.05839416058395054,0.05839416058395054,0.656934306569345,medium
WMT,2022-07-26,1.564450361987181,0.4752150757886099,0.3085106382978722,28,4,0.6633243523332004,5,0.4627659574468045,0.1542553191489323,True,0.04148936170212933,0.19148936170212782,0.1542553191489323,0.1542553191489323,0.6914893617021278,big
WMT,2022-07-27,1.5235008103727676,0.34323116219668487,0.22872340425532334,26,5,0.2723924054790079,5,0.3191489361702105,0.09042553191488718,True,0.12127659574467818,0.27127659574467666,0.09042553191488718,0.09042553191488718,0.7712765957446767,big
WMT,2022-07-27,1.0506551613934145,0.3399881399486006,0.32699619771862615,13,3,0.15009238692205001,3,0.37642585551330127,0.04942965779467516,True,0.023003802281376037,0.17300380228137388,0.04942965779467516,0.04942965779467516,0.6730038022813739,medium
WMT,2022-07-28,2.111899133175734,0.4012964963729049,0.194029850746272,17,3,0.26856162252095817,3,0.44402985074627727,0.25000000000000533,True,0.1559701492537227,0.305970149253728,0.25000000000000533,0.25000000000000533,0.805970149253728,huge
WMT,2022-07-29,1.1911207363291982,1.0853779714132965,0.9220779220779202,7,11,0.21427924264402481,2,1.292207792207781,0.37012987012986076,True,0.5720779220779146,0.42207792207792016,0.37012987012986076,0.37012987012986076,0.07792207792207984,medium
WMT,2022-07-29,1.301359283286996,0.2935234246940807,0.22848664688426729,12,1,0.23658157879620237,2,0.8456973293768434,0.617210682492576,True,0.12151335311573777,0.2715133531157327,0.617210682492576,0.617210682492576,0.7715133531157327,big
WMT,2022-08-01,0.8619716189257212,0.962830273175095,1.1266375545851637,7,5,0.25967101470809756,2,1.1266375545851637,0.0,True,0.7766375545851687,0.6266375545851638,0.0,0.0,0.1266375545851638,small
WMT,2022-08-02,1.0467840677197422,0.5647182018774042,0.545126353790614,21,9,0.17952052223921647,3,0.27797833935017574,0.26714801444043823,False,0.19512635379061813,0.04512635379061401,0.26714801444043823,0.26714801444043823,0.454873646209386,medium
