ticker,has_res,level_dist_atr,age_bars,touches,res_drop_dep,res_drop_spd,reached,stalled,broke,short,cont_atr,apex_at_res,apex_placebo
AAPL,True,2.0760975313552827,33.0,3.0,0.4098650272065466,0.10246625680163665,True,False,True,False,13.296533044329493,True,False
AAPL,True,1.0175630396428352,10.0,1.0,0.5620436274848543,0.5620436274848543,True,False,True,False,3.871418001399735,False,False
AAPL,True,3.16813105432664,38.0,3.0,0.3332063975628413,0.08330159939071033,True,False,True,False,12.707338844276753,True,True
AAPL,True,1.1051316756256946,8.0,9.0,1.5356524181843725,0.5118841393947908,True,False,True,False,2.7014329848627874,True,True
AAPL,True,1.2419587510236618,91.0,5.0,0.8027469722982645,0.08027469722982644,True,False,True,False,2.8810554747584343,True,True
AAPL,True,1.009189517100762,762.0,3.0,0.5246565570563944,0.08744275950939906,True,False,True,False,5.619981989726385,True,False
AAPL,True,1.5901923278770576,6.0,1.0,0.3941645523740506,0.06569409206234178,True,False,True,False,10.854791107682578,False,False
AAPL,True,1.5918401872559347,30.0,2.0,0.2883762200532412,0.05767524401064825,True,False,True,False,8.609389181778079,False,False
AAPL,True,2.230446437352769,52.0,4.0,0.2883762200532412,0.05767524401064825,True,False,True,False,0.6764468703447011,True,False
AAPL,True,1.4489670943756416,18.0,3.0,0.26884089907448816,0.26884089907448816,True,False,True,False,8.555805700122477,False,False
AAPL,True,1.4245054985254424,10.0,2.0,0.15534745317697277,0.015534745317697277,True,False,True,False,18.119709941243503,False,False
AAPL,True,1.2555665100956097,260.0,2.0,1.781629421080408,0.29693823684673465,True,False,True,False,1.836097262075305,True,False
AAPL,True,1.1326241847242722,181.0,2.0,0.10739490641301212,0.05369745320650606,True,False,True,False,8.085008807978644,True,True
AAPL,True,1.0081990480395404,460.0,3.0,0.4681279257995333,0.15604264193317777,True,False,True,False,0.5223199887433946,True,False
AAPL,True,3.485029964412618,694.0,5.0,0.2883762200532412,0.05767524401064825,True,True,False,False,,True,False
AAPL,True,3.177903180544617,2.0,2.0,0.6776723620770129,0.33883618103850643,True,False,True,False,4.039312833879061,True,True
