regime,mean_ic,t_stat,n_days,n_rows,fold,arm
range_high_vol,0.06874401402179135,2.9996785732882856,61,2054,10,v1
range_low_vol,-0.0019810609128964717,-0.13878518556773933,61,9611,10,v1
bear_high_vol,0.0421665137143598,1.0749804056606032,35,3437,11,regime_weighted
bear_low_vol,-0.03659322644067295,-0.8293346392155374,30,1848,11,regime_weighted
bull_high_vol,-0.03877973914693594,-2.8852633989513503,160,7592,11,regime_weighted
bull_low_vol,0.018003259795620497,2.20402980384072,160,21235,11,regime_weighted
range_high_vol,0.05299775147343991,4.351310736767336,117,66194,11,regime_weighted
range_low_vol,0.04865430731925348,4.870098088588124,123,37175,11,regime_weighted
bear_high_vol,0.07771491907135662,2.356765864637371,35,3437,11,v1
bear_low_vol,-0.05715246018917239,-1.1792072637258424,30,1848,11,v1
bull_high_vol,-0.009195919219142257,-0.7258627017350494,160,7592,11,v1
bull_low_vol,0.01587132452243915,1.3205976987106058,160,21235,11,v1
range_high_vol,0.043175700652960794,4.597088602016736,117,66194,11,v1
range_low_vol,0.06555807025100954,5.635463167890367,123,37175,11,v1
